pieceVSA_EState3,pieceSlogP_VSA5,pieceMolLogP,pieceVSA_EState10,pieceMaxEStateIndex,pieceFpDensityMorgan1,pieceqed,pieceVSA_EState9,pieceEState_VSA5,pieceMinEStateIndex,pieceVSA_EState1,pieceHallKierAlpha,extender1_ratio,Hs_wt,polyol_ratio,extender2_ratio,mac_rate,preqed,ex1VSA_EState10,ex1EState_VSA8,lg_Eb
49.28009121,1361.214184,79.6198,0,12.79112671,0.040462428,0.019858198,2.832102141,65.58616807,-0.46852937,467.2598063,-14.28,0.206,0.329,0.294,0,24,0.032530191,3.75617284,0,2.691081492
47.64150961,1489.630617,70.7506,0,12.76285867,0.052313883,0.008838531,9.027560319,14.21959508,-0.763215199,272.0979523,-30.48,0.333,0.16,0.5,0,500,0.019011903,3.771553918,0,2.695481676
43.39553105,1655.6957,95.2094,0,12.65382745,0.033674963,0.009560247,2.601053541,14.21959508,-0.638138802,431.2159345,-56.16,0.375,0.605,0.125,0,100,0.018111499,3.813117284,0,2.698970004
42.45598141,2143.678143,118.4706,0,12.75601121,0.032569361,0.007283387,2.576586004,14.21959508,-0.948875111,506.6953519,-67.92,0.33,0.183,0.33,0,100,0.013798051,3.478047144,0,2.699837726
40.64476917,1373.179548,60.3976,0,12.73061775,0.037889039,0.005532738,2.522753326,14.21959508,-1.079975398,568.0575081,-78.52,0.33,0.183,0.33,0,100,0.010481557,3.478047144,0,2.721810615
42.47154308,2169.36143,117.1154,0,12.66172175,0.028290283,0.007283387,2.576558497,14.21959508,-0.94877477,483.5065016,-65.56,0.357,0.355,0.143,0,100,0.013798051,3.813117284,0,2.722633923
44.48384172,3418.012459,55.85515,0,13.34831592,0.024373731,0.006415897,7.924387347,105.9261235,-1.003881757,1096.386892,-119.72,0.249,0.157,0.251,0,100,0.019008174,2.322445244,0,2.72427587
49.40791202,1351.363882,80.7453,0,12.79399181,0.055762082,0.016609803,2.829553146,65.58616807,-0.391371354,467.2104721,-17.16,0.188,0.631,0.125,0.188,50,0.032530191,3.545003,34.25027774,2.728353782
43.62827061,2400.511008,161.1848,0,12.64072609,0.02259887,0.007283387,8.485101683,57.39518699,-0.75827604,962.713275,-84.81,0.25,0.179,0.25,0,20,0.018111458,3.771553918,0,2.735039705
49.68994258,2375.704,97.4826,0,12.79783943,0.023281596,0.019858198,2.834620979,65.58616807,-0.327383545,908.2613949,-17.28,0.25,0.243,0.25,0,500,0.032442693,3.839887251,0,2.736141429
50.66973715,2507.950235,91.2657,13.43032859,13.25921379,0.029134533,0.007283331,2.796285585,14.15746952,-1.028713977,831.377141,-104.82,0.33,0.147,0.33,0,100,0.013798049,3.472207822,0,2.737987326
46.24486291,1347.600871,63.369,0,13.10264042,0.065539112,0.008838531,8.577605852,57.39518699,-0.911377553,272.0861886,-30.48,0.3,0.154,0.5,0,500,0.019012428,3.771553918,0,2.740362689
